economy,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024
BOL,0.745772608696722,-2.49886824544741,2.45168756123775,2.79185385749299,3.07261074755318,2.43967814560444,3.16542867647895,3.58442251378885,3.9135501461408,5.7066221190291,1.98982485629696,1.68072787961335,0.988080149462259,1.55130384811576,0.624547731622922,-0.44160551411852,-2.66931283946252,1.21888494970059,0.0122391923945909,0.458812480265399,0.705218407730592
BRA,2.71353208011572,1.73389357182998,1.753125434984,3.19082655934052,2.99060892561747,1.88848240446291,3.73001226987179,3.91517954138648,3.75496210868766,3.04150922966082,3.57135261310663,3.59214973121732,4.13737853830264,3.33826028420938,4.07858861807831,3.69267330426814,2.59263784624068,2.77979074096507,3.86803201499441,2.86383330702497,3.38960802616211
BRB,6.62895921033532,10.2123680027307,8.11575176366603,10.1887985471991,12.8407137023166,7.970079027098,7.49770509942005,8.11486529224277,9.16515225346744,1.83669980165651,13.4093775773811,12.083324294887,9.82448659013076,1.60970470892023,4.02530011079732,3.49521864375147,4.84737518609963,4.01400677589932,2.90490784179872,3.11355691690029,4.04185101459713
BRN,1.31341824941979,1.65985733716788,0.694676100917879,1.91806992225192,1.39506580939608,2.73305999823298,3.50710078835613,3.73105568458092,4.54055753809902,4.28670084809197,3.35660901155102,1.32471179544033,-1.32059047324395,3.85818821585897,3.80486552830842,2.77118007919323,4.7105756528403,1.47404982867232,-1.73946797718401,-0.370504516227009,0.189449066349964
BTN,1.20485866433723,0.721867150911614,0.649361841531609,5.88132297381915,0.23863062320184,1.37452904839501,4.40487201345335,1.57461513860453,1.2354733641673,1.05127659163372,1.12656942719562,0.294858179551153,0.504099187674602,-0.638806366922729,0.10255942689779,0.475617042344246,-0.113401528947433,0.244983575408047,0.289904655137253,0.338339566584512,
BWA,4.36383657370126,4.24294905100869,4.90881469396689,4.6808134501234,4.85440497340622,2.06256005196384,1.7280613479871,1.94040749024403,1.05040106491218,0.470417841005353,3.33019730942426,2.79773267452093,0.944944816734731,1.61796092921322,1.67893386448584,0.559653498041763,0.212513875084985,-1.70161470195308,3.49204705165089,3.82011318135645,2.40833479893043
CAF,1.1867705571186,0.754917589946925,2.37163652036171,3.33860588929027,5.87486387887319,2.04509891475672,2.8712892233531,1.5138934301082,2.79010478789883,0.109532467338194,0.18339589636816,0.176904971713319,0.397590019652539,0.332412482969051,0.810612744001372,1.1525297989583,0.0746698927110639,0.214980465443776,1.00929791484186,1.51604656547544,1.46851186564355
CAN,0.14146589604803,2.17816380917594,4.87410128955104,8.20055904886214,4.5151371416977,1.52413118076926,1.83725638740881,2.13783310760835,2.70016900895675,3.62980398357006,3.55390337011002,3.85389453706152,2.23835012140903,1.53752071953934,2.46931207254863,2.80676687017653,1.75897085668576,2.97618288160973,2.31755804932899,2.01979850018061,2.81029565355294
CEB,5.63778072352798,8.43686308902709,8.15209179254913,12.1330403943211,9.03146896170313,2.36140759120575,1.61300869025255,3.43951780224961,2.89121901660299,1.10764880919044,3.66873207560602,1.80880990392683,8.80263719364417,2.10815672055366,-1.1357787238551,9.12473767717775,12.6654808411373,6.3130466434292,4.17185107299096,0.294316334110165,-0.147680272642613
CHE,1.75837273590171,0.637104289050494,12.1731323129404,9.92138923782949,0.527253063961103,8.59932509165806,2.95077318898271,2.90052077420682,5.81910221569192,-3.52948637026792,2.89084632358213,17.3922014905275,24.8364271188431,21.1132101645126,-22.2992307115934,3.09898460757035,-32.1514826654422,-14.8138174061548,-1.49836009615472,-12.9086989818136,-11.5737467714118
