Country,Year,Agri_GDP,Elec_Access,FDI_GDP,GDPC_2015,Indus_GDP,Internet_Usage,Serv_GDP
QAT,2021,0.298215445756429,100.0,-0.608353395238639,65488.5460040395,59.9841033283656,99.6528,44.7686957850892
QAT,2022,0.256532188320967,100.0,0.0322850595933247,64315.6355652952,65.3489234039875,99.6528,38.541484553289
QAT,2023,0.28697741980751,100.0,-0.21820397647038,65337.9507645329,59.6406081898552,99.6528,44.7463536800745
ROU,2004,12.7055114609076,95.3,8.59368512961184,6008.64048461485,31.8347873600822,15.0,45.1610886176413
ROU,2005,8.48610428920676,95.6,6.60067175776297,6328.09022324183,32.2658742760889,21.5,47.9286025784533
ROU,2006,7.82080658741648,95.9,9.02006052535516,6876.77841417966,32.9782770932418,24.66,48.253514239885
ROU,2007,5.50150097100926,96.1,5.78679016158104,7483.97375820611,34.2821825497409,28.3,49.3464862197025
ROU,2008,6.30193056572848,96.5,6.37741866098849,8318.00342795388,36.7743706646186,32.42,46.6274099654077
ROU,2009,6.11614263251912,96.8,2.66364407064905,7924.87058070212,36.4231420350652,36.6,48.3819583982207
ROU,2010,5.1772466335768,97.1,1.88971859139686,7660.70667630517,38.3073286489437,39.93,45.9961975955111
ROU,2011,5.95088848587022,97.4,1.23042689104897,8044.57194920892,40.2099159620935,40.01,42.3345168458964
ROU,2012,4.54079724771484,97.8,1.70143772893217,8234.28553425194,34.4276463515754,45.88,49.4343903967501
ROU,2013,5.50972556892124,98.1,2.03100513989555,8287.95844089676,32.072608504292,49.7645,50.5530892890503
ROU,2014,4.94834094527624,98.4,1.9372882717301,8661.47397274241,32.5700211539755,54.0783,50.9162586615439
ROU,2015,4.42592968395419,98.8,2.42725822119064,8977.01748158196,30.811807082352,55.7632,52.6060117162535
ROU,2016,4.2921753725524,99.1,3.37417569649644,9286.87678236598,30.1213847463155,59.504,55.1153784636175
ROU,2017,4.43884283682194,100.0,2.8327307446025,10106.2269557253,29.1130933187854,63.7473,56.9119041977143
ROU,2018,4.50660889280427,99.8,3.03714660753952,10714.1701157127,29.1075109238852,70.6813,56.7769219049761
ROU,2019,4.31147831319992,100.0,2.94522918789332,11197.3162915853,27.7745670712094,73.6575,58.3617382577699
ROU,2020,4.07184426240682,100.0,1.43737355732839,10854.049431887,26.6218787803176,78.4553,59.918608618412
ROU,2021,4.616339720378,100.0,4.12834531077957,11546.3224998072,26.2049211165386,83.5904,59.5240162986079
ROU,2022,3.8180329334627,100.0,3.88647349252643,12076.3033811896,27.5991771762168,85.5031,60.3937908900332
ROU,2023,3.32416909916798,100.0,2.50426860654842,12340.8170509969,27.0872143657574,89.2034,60.9101722747782
RUS,2004,4.90444194797732,98.0,2.60618528064118,6856.67822265625,31.7022224269588,12.8594,50.6582705909717
RUS,2005,4.25591600597494,98.0,2.02980703784767,7323.38525390625,32.6292320732921,15.2267,48.8060444911754
RUS,2006,3.86131247123383,98.1,3.7977120943899,7949.89697265625,31.780260587362,18.0233,49.721475563319
RUS,2007,3.7789017062609,98.2,4.29895594841933,8640.40625,31.2220408019737,24.66,50.6730476139936
RUS,2008,3.75334118813491,98.3,4.50269424864822,9093.7001953125,30.7868817007532,32.0,50.6956877769402
RUS,2009,4.08444869718417,98.4,2.99212552042529,8381.8681640625,29.3269390255444,42.55,53.766526695736
RUS,2010,3.34389824902191,99.3,2.8308286983175,8755.1201171875,29.999588218512,49.0,53.1202122391884
RUS,2011,3.1507257212962,99.2,2.69236118071968,9120.8203125,29.4135888378747,58.0,53.7975831653192
RUS,2012,2.92603087775353,100.0,2.29079869889368,9464.0107421875,29.102868072666,66.0,54.5096468238003
